Fund_ID,Fund_Name,Ticker,Asset_Manager,Fund_Type,Inception_Date,Category_Group,Primary_Sector,Geographic_Focus,Fund_Net_Assets_USD_M,Tariff_Risk_Level,Tariff_Risk_Score,Import_Exposure_Pct,Export_Exposure_Pct,China_Exposure_Pct,EU_Exposure_Pct,Supply_Chain_Vulnerability_Score,Retaliatory_Tariff_Risk,Trade_War_Resilience_Score,Return_1M_Pct,Return_3M_Pct,Return_6M_Pct,Return_1Y_Pct,Return_3Y_Annualized_Pct,Return_5Y_Annualized_Pct,Return_YTD_Pct,Return_Since_Inception_Annualized_Pct,Volatility_1Y_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Beta_vs_Market,Portfolio_Concentration_Index,Expense_Ratio_Pct,Portfolio_Turnover_Pct,Number_of_Holdings,Average_Market_Cap_USD_B,Percent_Holdings_Rated,Return_During_Tariff_Episodes_Pct,Drawdown_During_Tariff_Episodes_Pct,Holdings_with_Tariff_Hedges_Pct,Holdings_in_Near_Shoring_Beneficiaries_Pct,Holdings_with_Diversified_Supply_Chain_Pct,Data_As_Of_Date,Tariff_Risk_Category,Resilience_Quartile,AUM_Bucket,Return_1Y_Z,Volatility_1Y_Z,Risk_Return_Score,Tariff_Resilience_Interaction
FND_0296,Fidelity Active Utilities Fund,FU96,Fidelity,ETF,2017-05-31,Income,Utilities,Europe,139799.74,Low,10.03,16.07,12.01,0.0,3.91,31.0,Low,75.29,1.9,3.37,16.38,-13.85,-14.96,-14.55,-0.32,-13.58,10.81,10.89,-1.28,1.12,0.72,0.41,22.38,90,43.74,80.65,6.97,-8.65,71.97,34.24,63.99,2024-12-13,Low,Q4_High,Mid,-1.8464700896329604,-0.9319268999300726,-0.9145431897028878,755.1587000000001
FND_0067,Vanguard SPDR Index Fund,SU67,SPDR,ETF,1986-09-26,Sector Equity,Utilities,ASEAN,155854.7,Low,14.53,15.93,13.88,13.3,19.39,29.45,Low,75.03,1.2,7.51,7.44,-1.56,-1.69,-1.64,-1.93,-1.53,12.09,27.29,-0.13,1.21,0.18,0.56,72.56,382,8.19,91.3,6.79,-8.74,68.38,34.02,63.77,2024-12-13,Low,Q4_High,Mid,-0.9304942835078219,-0.7165302888953142,-0.2139639946125077,1090.1859
FND_0221,SPDR Utilities Growth Fund,SU21,SPDR,Mutual Fund,2014-05-08,Income,Utilities,North America,41946.53,Low,9.51,11.08,10.11,6.8,0.0,31.89,Low,74.83,1.45,7.51,-0.73,-21.65,-23.38,-22.73,-0.66,-21.22,20.44,16.93,-1.06,0.98,0.49,0.36,0.0,433,53.63,93.28,-3.35,-8.81,72.39,33.85,63.6,2024-12-13,Low,Q4_High,Small,-2.427805426311242,0.6885960409017433,-3.1164014672129854,711.6333
FND_0257,PIMCO Real Estate Dividend Fund,PR57,PIMCO,ETF,2017-01-04,Balanced,Real Estate,Latin America,545.34,Low,15.3,17.01,10.19,18.12,0.0,29.61,Low,74.68,4.09,7.89,10.84,8.39,9.06,8.81,12.73,8.22,15.78,14.29,0.53,1.02,0.52,0.52,23.41,43,6.29,89.2,-5.59,-8.86,67.76,33.73,63.48,2024-12-13,Low,Q4_High,Small,-0.18891907838616764,-0.09558224614667461,-0.09333683223949303,1142.6040000000003
FND_0038,iShares US Real Estate Fund,IR38,iShares,Mutual Fund,2008-07-18,Value,Real Estate,US,24610.71,Low,15.36,19.27,23.39,2.1,1.44,29.63,Low,74.65,3.46,2.04,5.65,28.33,30.59,29.74,16.75,27.76,13.48,24.82,2.1,0.53,0.86,0.18,29.13,373,105.96,82.49,-1.92,-8.87,67.71,33.71,63.46,2024-12-13,Low,Q4_High,Small,1.2972125387119011,-0.48262303159975606,1.7798355703116573,1146.624
FND_0163,UBS Emerging Markets Utilities,UU63,UBS,ETF,2020-12-06,Sector Equity,Utilities,US,28772.11,Low,10.79,6.66,8.83,18.26,15.06,32.07,Low,74.31,-0.82,-3.29,8.37,26.34,28.44,27.65,22.05,25.81,14.89,39.54,1.77,0.62,0.54,0.71,71.46,520,17.95,93.12,6.41,-8.99,71.37,33.42,63.17,2024-12-13,Low,Q4_High,Small,1.14889749768757,-0.2453502022567799,1.39424769994435,801.8049
FND_0122,Guggenheim Global Fund,GE22,Guggenheim,Mutual Fund,1980-02-23,Income,Energy,Africa,615272.31,Low,17.92,10.46,28.59,17.21,4.23,29.23,Low,74.16,-2.14,4.59,13.24,13.19,14.24,13.85,12.85,12.92,18.14,19.82,0.73,1.19,0.41,0.56,76.62,474,303.06,94.33,7.3,-9.04,65.66,33.29,63.04,2024-12-13,Low,Q4_High,Large,0.16882574418508253,0.3015552554486615,-0.132729511263579,1328.9472
FND_0087,Principal Financials Growth Fund,PF87,Principal,Mutual Fund,2015-12-03,Income,Financials,US,273892.0,Low,13.7,16.97,13.66,9.37,5.24,31.18,Low,74.07,1.28,-2.02,6.68,51.25,55.35,53.82,8.86,50.23,9.82,23.54,5.22,1.15,0.18,0.6,63.16,354,346.74,91.6,-7.53,-9.08,69.04,33.21,62.96,2024-12-13,Low,Q4_High,Mid,3.005444066489621,-1.0985227162772686,4.103966782766889,1014.7589999999999
FND_0193,Franklin Templeton Consumer Staples Value Fund,FTC93,Franklin Templeton,ETF,1995-09-03,Sector Equity,Consumer Staples,Middle East,208343.47,Low,25.07,14.53,35.48,28.72,22.49,26.34,Low,74.04,-1.73,6.1,17.49,48.08,51.93,50.48,6.02,47.12,14.47,25.06,3.32,1.26,0.76,0.45,44.03,515,107.17,85.65,3.66,-9.08,59.94,33.19,62.94,2024-12-13,Medium,Q4_High,Mid,2.769183423249858,-0.31602721525256,3.0852106385024176,1856.1828000000003
FND_0172,Bank of America Core Financials Fund,BOF72,Bank of America,Mutual Fund,1998-10-05,Equity,Financials,ASEAN,149259.27,Low,6.84,1.94,14.08,6.12,0.04,34.62,Low,73.72,1.32,-1.25,-6.7,-9.34,-10.09,-9.81,11.08,-9.16,16.51,5.49,-0.57,1.31,0.79,0.46,24.29,194,168.31,84.08,-4.29,-9.2,74.53,32.91,62.66,2024-12-13,Low,Q4_High,Mid,-1.5103390167587234,0.027261133584086456,-1.5376001503428098,504.2448
FND_0230,Merrill Lynch Sector Utilities Fund,MLU30,Merrill Lynch,ETF,1982-08-26,Growth,Utilities,Latin America,212153.43,Low,8.51,12.93,11.12,0.0,0.42,35.1,Low,72.88,-1.19,-7.82,8.19,14.62,15.79,15.35,27.82,14.33,19.39,5.64,0.75,0.92,0.86,1.29,0.0,331,181.62,88.85,2.51,-9.49,73.2,32.2,61.95,2024-12-13,Low,Q4_High,Mid,0.2754038892427675,0.5119035084122928,-0.23649961916952533,620.2088
FND_0182,WisdomTree International Utilities,WU82,WisdomTree,Mutual Fund,2020-12-10,Income,Utilities,China,7756.79,Low,12.9,21.72,11.79,2.23,22.15,33.27,Low,72.84,4.44,-1.94,11.51,-6.09,-6.58,-6.39,4.58,-5.97,12.57,20.03,-0.48,1.35,0.17,0.98,59.11,113,72.05,97.39,-0.32,-9.5,69.68,32.17,61.92,2024-12-13,Low,Q4_High,Small,-1.2681159598094394,-0.6357565597572797,-0.6323594000521596,939.6360000000001
FND_0062,Franklin Templeton US Energy Fund,FTE62,Franklin Templeton,Mutual Fund,2008-04-14,Sector Equity,Energy,India,349925.4,Low,7.47,7.92,13.84,0.52,17.5,37.17,Low,71.74,-0.02,-2.23,4.37,-0.29,-0.32,-0.31,-0.46,-0.29,11.6,29.02,-0.03,1.17,0.49,0.71,19.19,512,393.28,87.36,-1.84,-9.89,74.02,31.23,60.98,2024-12-13,Low,Q4_High,Large,-0.8358409658691784,-0.7989868040570577,-0.036854161812120756,535.8978
FND_0188,Vanguard SPDR Index Fund,SC88,SPDR,ETF,2018-02-03,Value,Consumer Staples,ASEAN,1230953.84,Medium,30.59,34.69,12.28,43.43,22.28,28.28,Low,71.03,3.15,3.36,13.98,2.05,2.21,2.15,6.13,2.01,19.99,31.88,0.1,0.43,0.75,0.38,39.96,438,135.19,80.18,-0.91,-10.14,55.53,30.62,60.37,2024-12-13,Medium,Q4_High,Large,-0.6614403648656941,0.6128706698348355,-1.2743110347005295,2172.8077
FND_0186,SPDR Emerging Markets Utilities,SU86,SPDR,ETF,2005-01-14,Income,Utilities,India,248537.44,Low,3.33,0.0,7.51,3.58,23.48,42.75,Low,69.08,-1.41,-2.2,12.12,-8.67,-9.36,-9.1,9.7,-8.5,14.34,30.16,-0.6,1.08,0.71,0.81,3.39,239,264.09,89.11,1.19,-10.82,77.34,28.96,58.71,2024-12-13,Low,Q4_High,Mid,-1.4604038019414862,-0.3379034335607778,-1.1225003683807084,230.0364
FND_0036,iShares Dimensional Utilities ETF,DU36,Dimensional,Mutual Fund,2004-02-24,Income,Utilities,Japan,85799.5,Low,20.57,27.57,13.53,18.29,16.44,35.44,Low,69.02,0.52,2.31,15.5,12.29,13.28,12.91,6.41,12.05,17.6,14.66,0.7,0.9,0.68,0.49,0.0,420,1824.75,80.68,1.6,-10.84,63.54,28.92,58.67,2024-12-13,Low,Q4_High,Mid,0.10174858995297308,0.21068481016837295,-0.10893622021539988,1419.7413999999999
FND_0275,Dimensional Emerging Markets Communications,DC75,Dimensional,Mutual Fund,2020-05-16,Equity,Communications,Japan,702949.9,Medium,30.44,31.94,28.67,30.19,27.33,31.67,Low,68.7,1.52,9.16,6.88,-5.51,-5.95,-5.78,18.51,-5.4,16.15,29.17,-0.34,1.28,0.51,0.41,45.06,293,10.81,93.51,2.44,-10.95,55.65,28.65,58.4,2024-12-13,Medium,Q4_High,Large,-1.224888460415413,-0.033319163269439865,-1.1915692971459733,2091.228
FND_0285,Dodge & Cox Global Energy ETF,D&E85,Dodge & Cox,ETF,2002-06-30,Equity,Energy,Japan,276495.03,Low,14.47,6.89,39.05,0.0,4.95,39.34,Low,68.12,2.1,3.88,4.36,23.86,25.77,25.05,10.33,23.38,17.22,17.37,1.39,1.05,0.42,0.85,34.54,105,65.87,91.21,8.7,-11.16,68.42,28.15,57.9,2024-12-13,Low,Q4_High,Mid,0.9640626726924242,0.1467389412674286,0.8173237314249956,985.6964000000002
FND_0044,TIAA International Communications,TC44,TIAA,ETF,1994-12-16,Growth,Communications,Japan,2861892.06,Medium,32.71,25.7,26.02,48.77,38.12,31.75,Low,67.96,5.91,1.27,8.3,4.28,4.63,4.5,9.28,4.2,25.76,46.81,0.17,1.18,0.45,0.98,39.14,530,12.02,85.38,-0.93,-11.21,53.83,28.02,57.77,2024-12-13,Medium,Q4_High,Large,-0.4952380827128007,1.5838382055149582,-2.0790762882277587,2222.9716
FND_0063,WisdomTree Communications Dividend Fund,WC63,WisdomTree,Mutual Fund,1993-04-01,Sector Equity,Communications,Europe,14241.33,Medium,30.44,31.1,32.94,27.05,22.64,32.74,Low,67.95,-1.21,7.55,8.25,26.19,28.29,27.5,14.95,25.67,22.46,23.22,1.17,0.85,0.75,0.01,29.88,539,47.0,94.75,3.55,-11.22,55.65,28.01,57.76,2024-12-13,Medium,Q4_High,Small,1.1377179719822188,1.0285188176909714,0.10919915429124738,2068.398
FND_0167,Fidelity Active Utilities Fund,FU67,Fidelity,Mutual Fund,1988-01-12,Income,Utilities,ASEAN,29505.76,Low,5.29,0.74,16.65,0.0,1.53,44.1,Low,67.55,4.46,-2.6,17.65,14.22,15.36,14.94,10.11,13.94,19.82,37.4,0.72,0.51,0.35,0.42,42.14,135,30.1,82.94,0.5,-11.36,75.77,27.66,57.41,2024-12-13,Low,Q4_High,Small,0.2455918206951634,0.584263307431782,-0.3386714867366186,357.3395
FND_0093,Goldman Sachs Utilities Growth Fund,GSU93,Goldman Sachs,Mutual Fund,1990-11-09,Sector Equity,Utilities,Global,38502.74,Low,15.34,19.69,0.0,24.88,16.28,41.8,Low,66.14,-0.57,3.27,3.61,21.66,23.4,22.75,11.72,21.23,20.76,23.36,1.04,0.43,0.31,0.06,45.91,319,228.04,98.58,3.21,-11.85,67.73,26.47,56.22,2024-12-13,Low,Q4_High,Small,0.8000962956806013,0.7424451936604329,0.05765110202016832,1014.5876
